DeliveryID,DateKey,ProductID,DistributionCenterID,CarrierID,DeliveredOrders,DelayedOrders,ReturnedOrders,Revenue,AverageDeliveryDays,PenaltyCost
1488,20240101,3,1,2,78,8,1,78806.65,2.8,485.15
2259,20240101,6,6,4,41,6,1,92181.56,7.3,558.03
2316,20240101,7,6,5,22,2,0,16821.66,4.8,70.28
1409,20240102,7,2,4,51,10,1,36002.57,3.7,911.83
1482,20240102,3,2,1,116,5,1,116013.54,4.1,339.64
1949,20240102,10,3,3,49,3,2,80684.5,5.8,226.96
1996,20240102,7,1,1,111,5,3,85150.32,6.1,351.56
1622,20240103,1,3,2,19,1,0,15467.3,4.3,60.75
1739,20240103,11,2,5,88,5,2,97612.14,3.9,248.35
1913,20240103,5,4,5,38,6,1,52970.02,4.3,235.19
381,20240104,4,6,1,63,13,3,41338.59,4.4,1204.23
773,20240104,6,2,3,49,2,4,95787.66,1.6,82.55
846,20240104,10,1,2,25,0,1,42622.49,2.9,0.0
901,20240104,8,4,3,24,1,0,21371.03,5.1,54.34
1237,20240104,7,4,1,63,6,0,48476.72,3.3,344.27
1294,20240104,4,3,5,102,13,6,62099.57,2.8,464.84
1550,20240104,3,5,3,49,2,1,47726.0,4.0,155.63
465,20240105,2,5,4,22,5,0,27175.99,5.3,458.13
845,20240105,9,4,3,107,6,1,56390.33,5.2,448.99
104,20240106,2,5,2,92,8,1,113535.77,3.3,558.8
575,20240106,1,5,1,119,9,4,97925.53,2.0,754.9
707,20240106,11,1,4,83,10,1,88464.64,6.6,547.59
1190,20240106,11,4,2,60,4,2,69770.06,3.5,349.46
1279,20240106,7,4,4,95,10,0,76551.59,6.0,858.95
2202,20240106,12,3,5,103,5,1,69204.23,3.4,196.44
1175,20240107,12,6,5,36,9,1,24357.56,2.4,534.72
1532,20240107,1,5,1,41,2,2,32549.27,2.1,177.42
1807,20240107,11,6,4,116,18,2,134705.19,7.2,706.54
303,20240108,3,2,4,45,7,1,41790.82,4.7,613.5
1070,20240108,11,5,3,52,2,0,58925.5,3.9,79.03
1763,20240108,7,3,5,70,0,3,50607.99,3.2,0.0
790,20240109,11,6,2,108,16,2,126422.99,4.5,861.67
801,20240109,12,3,4,120,18,2,88044.31,3.8,1475.8
1682,20240110,4,6,1,56,5,4,35188.8,5.0,350.46
410,20240111,3,1,1,19,1,0,18061.12,2.5,80.39
839,20240111,11,1,2,22,4,0,22560.25,4.8,323.72
1038,20240111,8,1,2,58,4,1,55034.98,4.5,250.55
1121,20240111,10,1,4,59,13,3,107404.2,6.5,901.35
889,20240112,3,5,4,119,17,5,121215.42,4.8,1114.01
1366,20240113,5,4,4,52,12,2,72703.89,5.4,747.18
1624,20240113,4,5,1,90,15,9,57144.19,2.3,773.1
415,20240114,3,5,4,87,11,3,83578.01,6.3,576.21
478,20240114,12,5,4,108,20,4,68642.63,6.4,1153.28
1594,20240114,4,4,1,112,10,6,66367.66,3.0,817.15
1652,20240114,5,5,2,79,3,2,115064.73,4.3,256.88
233,20240115,11,3,2,54,5,1,63306.69,3.1,225.0
2090,20240115,5,6,2,64,7,3,89499.09,4.4,301.95
300,20240116,2,2,2,88,10,0,108424.18,2.8,671.84
540,20240116,3,3,3,68,7,0,64786.99,3.9,541.92
1529,20240116,8,1,5,112,3,2,101907.54,3.5,132.53
2171,20240116,9,2,2,55,3,0,31336.09,4.7,170.52
170,20240117,12,5,1,106,8,3,76841.3,2.7,725.84
272,20240117,11,4,5,31,1,0,36590.73,3.2,35.7
369,20240117,6,3,2,40,0,2,86803.05,3.7,0.0
1167,20240117,6,5,2,116,2,2,237061.52,3.5,118.34
1744,20240117,6,4,2,107,7,0,237207.8,4.2,264.77
2138,20240117,9,2,5,28,1,1,15547.56,1.5,63.54
821,20240118,9,1,2,110,2,2,61052.7,3.0,100.67
1783,20240118,2,4,5,24,4,0,28013.34,3.6,278.75
2261,20240118,10,3,1,27,4,2,50736.73,4.4,258.62
429,20240119,8,1,4,95,15,2,91231.67,6.5,854.44
454,20240119,2,4,2,61,3,2,70030.04,2.7,175.34
1180,20240119,1,4,3,113,8,1,95301.12,2.6,661.75
1399,20240119,1,1,2,73,3,1,64546.08,4.7,155.14
2223,20240120,10,4,3,75,2,4,122164.45,4.5,87.91
2329,20240120,2,2,1,117,8,0,147118.65,2.1,452.99
830,20240122,11,1,3,57,2,1,59975.78,3.5,123.5
1300,20240122,10,2,5,62,6,6,107054.19,4.2,562.99
1493,20240122,6,1,5,20,2,1,43774.59,2.7,97.61
1590,20240122,6,4,2,75,6,1,164147.22,4.3,476.18
1944,20240122,4,1,5,107,17,7,70064.39,2.6,1553.64
138,20240123,6,4,2,61,2,0,131372.65,4.2,109.02
1536,20240123,11,2,3,31,0,1,35334.24,4.3,0.0
1869,20240123,1,3,3,94,2,3,85315.32,4.2,111.8
385,20240124,11,5,1,43,1,1,47312.69,4.3,60.42
787,20240124,10,2,5,32,3,2,53394.48,4.2,266.39
2263,20240124,2,6,3,82,16,1,90564.05,4.3,1181.08
147,20240126,10,3,1,40,3,2,66755.35,4.8,162.41
663,20240126,5,5,4,113,20,3,169993.61,6.4,1770.33
1683,20240126,10,6,2,28,5,2,50203.64,4.1,333.29
2322,20240126,10,5,3,16,2,3,29943.97,3.3,146.55
844,20240127,7,5,1,74,3,1,56986.37,4.6,192.16
970,20240127,2,4,3,36,1,1,42105.11,3.6,73.45
1446,20240127,6,2,4,60,9,1,126569.5,6.4,502.82
1909,20240127,10,2,2,35,1,1,58613.97,4.0,55.12
117,20240128,9,1,4,80,12,0,39751.18,5.8,1059.76
328,20240128,1,4,2,40,2,0,32588.27,4.2,97.25
1266,20240128,6,2,4,84,18,4,164717.45,5.3,1557.68
2203,20240129,4,6,5,72,12,2,45192.96,4.5,1087.54
870,20240130,12,5,1,90,5,3,60953.47,4.3,453.22
1240,20240130,8,2,4,52,10,3,49411.02,5.8,802.64
2038,20240130,12,1,3,52,1,0,35737.04,2.7,93.59
250,20240131,4,6,5,65,11,9,42698.51,3.8,794.79
902,20240131,4,3,5,65,7,1,37838.42,4.5,266.73
1019,20240131,2,3,3,116,13,0,135305.4,6.1,571.8
1099,20240131,2,4,1,95,4,2,112600.67,2.5,174.54
1452,20240131,1,2,3,112,11,0,88380.71,2.4,603.06
562,20240201,6,5,4,33,5,0,70714.07,5.0,426.94
817,20240201,1,5,3,31,5,0,25250.49,2.8,188.77
1871,20240201,10,2,1,66,1,2,117476.74,2.6,43.19
2339,20240201,5,2,3,79,5,2,105514.56,3.1,192.87
56,20240202,6,5,4,58,5,2,125206.45,5.1,300.02
352,20240202,1,4,3,58,2,0,46936.38,3.7,166.19
397,20240202,11,6,4,120,32,2,123508.74,5.5,1944.02
811,20240202,12,2,3,82,2,0,58236.21,5.6,183.64
1110,20240202,5,4,3,110,8,1,170219.0,3.5,528.64
2371,20240202,4,6,5,86,15,6,53064.92,4.5,633.82
1806,20240203,10,2,4,21,6,0,35655.15,4.2,354.7
1463,20240204,3,2,4,65,3,1,59653.84,6.5,139.11
1526,20240204,7,1,4,25,3,1,18160.02,6.6,264.63
1781,20240204,8,3,5,41,1,0,37955.53,1.8,90.29
1270,20240205,3,6,1,92,6,3,88217.21,4.6,548.3
1286,20240205,2,5,3,101,6,0,112919.67,2.4,539.59
1518,20240205,11,6,3,86,7,0,94038.72,5.5,356.08
574,20240206,12,2,5,98,5,0,70885.3,3.3,291.69
699,20240206,3,6,5,96,13,1,94380.62,6.7,961.75
1642,20240206,8,2,2,61,4,0,54119.94,4.3,312.93
1976,20240206,8,6,5,101,18,1,89445.57,2.8,687.68
584,20240207,10,3,4,95,6,3,156679.5,4.7,506.3
848,20240207,2,6,5,25,8,0,29625.28,4.9,670.78
1453,20240207,2,2,2,113,7,0,144379.15,3.8,540.72
1464,20240207,8,6,5,104,11,0,92667.39,5.5,775.78
1653,20240207,10,6,3,51,8,1,94618.97,4.9,523.13
2278,20240207,7,1,1,84,5,1,63206.23,4.3,201.67
887,20240208,2,5,4,110,19,1,135297.62,4.7,1072.86
2314,20240208,6,3,3,72,7,1,152256.64,2.2,533.04
546,20240209,2,3,1,62,5,1,73511.51,5.0,246.67
898,20240209,11,5,2,25,1,1,27015.27,4.0,77.24
1983,20240209,5,3,5,27,1,0,38122.06,3.0,58.14
542,20240210,12,4,2,46,2,1,32264.26,3.8,149.85
1021,20240210,7,4,2,55,3,0,42835.31,2.9,181.81
1026,20240210,12,4,4,51,9,2,33273.83,4.6,519.25
1267,20240210,8,3,2,48,2,2,43738.54,4.4,140.8
858,20240211,3,5,3,35,1,3,35792.97,4.9,83.52
1801,20240211,9,1,3,51,3,1,26028.99,2.7,222.96
1979,20240211,2,1,1,120,11,2,149419.53,2.5,944.35
150,20240212,2,3,4,70,13,3,82166.17,4.7,741.76
1136,20240212,1,2,3,98,7,2,81423.45,4.3,635.5
619,20240214,8,4,4,87,12,6,72543.72,5.6,887.24
1351,20240214,7,1,5,21,1,0,16022.33,4.0,35.84
